TITLE,CATEGORY,URL
"Time Series Analysis","Mathematics and Statistics","doi.org/10.1007/978-0-387-75959-3"
"Understanding Analysis","Mathematics and Statistics","doi.org/10.1007/978-1-4939-2712-8"
"Understanding Statistics Using R","Mathematics and Statistics","doi.org/10.1007/978-1-4614-6227-9"
"Computational Physics","Physics and Astronomy","doi.org/10.1007/978-3-319-61088-7"
"Cosmology for the Curious","Physics and Astronomy","doi.org/10.1007/978-3-319-57040-2"
"Data Analysis","Physics and Astronomy","doi.org/10.1007/978-3-319-03762-2"
"Essential Astrophysics","Physics and Astronomy","doi.org/10.1007/978-3-642-35963-7"
"Fundamental Astronomy","Physics and Astronomy","doi.org/10.1007/978-3-662-53045-0"
"Principles of Astrophysics","Physics and Astronomy","doi.org/10.1007/978-1-4614-9236-8"
"Principles of Musical Acoustics","Physics and Astronomy","doi.org/10.1007/978-1-4614-6786-1"
"Principles of Physics","Physics and Astronomy","doi.org/10.1007/978-3-642-23026-4"
"Statistics and Analysis of Scientific Data","Physics and Astronomy","doi.org/10.1007/978-1-4939-6572-4"
